file_name,file_path,class_name,class_index
0.jpg,..\data\01_raw\seg_train\buildings\0.jpg,buildings,0
10006.jpg,..\data\01_raw\seg_train\buildings\10006.jpg,buildings,0
1001.jpg,..\data\01_raw\seg_train\buildings\1001.jpg,buildings,0
10014.jpg,..\data\01_raw\seg_train\buildings\10014.jpg,buildings,0
10018.jpg,..\data\01_raw\seg_train\buildings\10018.jpg,buildings,0
10029.jpg,..\data\01_raw\seg_train\buildings\10029.jpg,buildings,0
10032.jpg,..\data\01_raw\seg_train\buildings\10032.jpg,buildings,0
10056.jpg,..\data\01_raw\seg_train\buildings\10056.jpg,buildings,0
1009.jpg,..\data\01_raw\seg_train\buildings\1009.jpg,buildings,0
10113.jpg,..\data\01_raw\seg_train\buildings\10113.jpg,buildings,0
1012.jpg,..\data\01_raw\seg_train\buildings\1012.jpg,buildings,0
10126.jpg,..\data\01_raw\seg_train\buildings\10126.jpg,buildings,0
10144.jpg,..\data\01_raw\seg_train\buildings\10144.jpg,buildings,0
10151.jpg,..\data\01_raw\seg_train\buildings\10151.jpg,buildings,0
10161.jpg,..\data\01_raw\seg_train\buildings\10161.jpg,buildings,0
10165.jpg,..\data\01_raw\seg_train\buildings\10165.jpg,buildings,0
10176.jpg,..\data\01_raw\seg_train\buildings\10176.jpg,buildings,0
10184.jpg,..\data\01_raw\seg_train\buildings\10184.jpg,buildings,0
10185.jpg,..\data\01_raw\seg_train\buildings\10185.jpg,buildings,0
10191.jpg,..\data\01_raw\seg_train\buildings\10191.jpg,buildings,0
10196.jpg,..\data\01_raw\seg_train\buildings\10196.jpg,buildings,0
10198.jpg,..\data\01_raw\seg_train\buildings\10198.jpg,buildings,0
10205.jpg,..\data\01_raw\seg_train\buildings\10205.jpg,buildings,0
10210.jpg,..\data\01_raw\seg_train\buildings\10210.jpg,buildings,0
10228.jpg,..\data\01_raw\seg_train\buildings\10228.jpg,buildings,0
10231.jpg,..\data\01_raw\seg_train\buildings\10231.jpg,buildings,0
10251.jpg,..\data\01_raw\seg_train\buildings\10251.jpg,buildings,0
10252.jpg,..\data\01_raw\seg_train\buildings\10252.jpg,buildings,0
10257.jpg,..\data\01_raw\seg_train\buildings\10257.jpg,buildings,0
10266.jpg,..\data\01_raw\seg_train\buildings\10266.jpg,buildings,0
10278.jpg,..\data\01_raw\seg_train\buildings\10278.jpg,buildings,0
1028.jpg,..\data\01_raw\seg_train\buildings\1028.jpg,buildings,0
10295.jpg,..\data\01_raw\seg_train\buildings\10295.jpg,buildings,0
10303.jpg,..\data\01_raw\seg_train\buildings\10303.jpg,buildings,0
10306.jpg,..\data\01_raw\seg_train\buildings\10306.jpg,buildings,0
10310.jpg,..\data\01_raw\seg_train\buildings\10310.jpg,buildings,0
10312.jpg,..\data\01_raw\seg_train\buildings\10312.jpg,buildings,0
10316.jpg,..\data\01_raw\seg_train\buildings\10316.jpg,buildings,0
10318.jpg,..\data\01_raw\seg_train\buildings\10318.jpg,buildings,0
10328.jpg,..\data\01_raw\seg_train\buildings\10328.jpg,buildings,0
